Condition,Substrate,Group,Treatment_method ,Concentration,Treatment,Treat_No.,Cultivar,Samples,stem.volume,stem.nodes,length,bush,flowering.day,SPAD
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,1,3.73,8,58.5,5,56,104.5
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,2,3.86,8,58,4,59,114
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,3,3.65,8,47,4,59,99.9
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,4,4.33,7,49,3,59,108.4
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,5,4.03,7,61.5,4,57,99.2
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_AG,1,AG,6,3.67,8,50.5,4,68,91.4
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,1,4.05,9,59,5,64,104.4
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,2,3.91,9,54.5,5,59,101.6
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,3,4.3,8,53,4,59,96.3
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,4,4.15,9,56.5,5,59,105.4
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,5,3.61,8,53.5,4,68,106.2
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_AG,2,AG,6,3.8,9,57,4,60,93.6
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_AG,3,AG,1,4.1,9,54,7,56,104.3
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_AG,3,AG,2,4.35,9,58,3,56,86.5
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_AG,3,AG,3,3.73,8,48,6,59,108.3
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_AG,3,AG,4,3.85,8,52,4,59,89.3
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_AG,3,AG,5,3.77,8,51.5,4,59,100.5
