condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,1,1.97,0.35,1.62,3,9,45.12,77.71,-8.35,17.8
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,2,2.58,0.51,2.07,8,10,39.12,81.02,-8.86,17.21
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,3,2.21,0.37,1.84,11,13,48.54,83.47,-10.28,19.79
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,4,2.34,0.66,1.68,9,12,43.01,84.94,-12.09,24.94
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,5,2.63,0.23,2.4,10,11,42.23,83.54,-12.54,28.63
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_AG,1,AG,6,2.54,0.59,1.95,11,14,45.98,77.95,-11.09,22.12
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,1,2.15,0.54,1.61,8,10,47.92,81.38,-16.44,31.81
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,2,1.78,0.57,1.21,3,9,41.03,84.93,-10.53,33.04
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,3,1.44,0.7,0.74,3,11,43.15,83.78,-11.8,25.58
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,4,2.78,0.57,2.21,3,10,44.55,77.85,-12.38,27.09
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,5,1.49,0.42,1.07,8,10,45.09,76.19,-12.86,25.69
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_AG,2,AG,6,2.09,0.38,1.71,5,11,50.78,77.77,-11.95,23.51
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,1,2.2,0.62,1.58,5,10,43.1,82.5,-9.23,20.92
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,2,1.41,0.33,1.08,8,10,49.01,71.87,-14.19,30.84
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,3,1.96,0.6,1.36,10,12,40.98,85.02,-12.55,25.58
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,4,2.09,0.36,1.73,3,9,40.66,85.89,-8.87,19.75
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,5,1.96,0.51,1.45,12,15,42.65,83.54,-10.21,22.15
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_AG,3,AG,6,1.86,0.47,1.39,3,10,42.79,83.13,-11.71,23.05
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_AG,4,AG,1,1.33,0.77,0.56,7,10,48.65,87.33,-10.6,24.49
