substrate,Group,Concentration,one_group,treat.No.,Cultivar,samples,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total_nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L,a,b
soil,SSV,0,PSA,1,AG,1,3.73,8,58.5,5,56,104.5,1.18,0.32,3.08,0.13,0.44,1.97,0.35,1.62,3,9,45.12,77.71,-8.35,17.8
soil,SSV,0,PSA,1,AG,2,3.86,8,58,4,59,114,1.19,0.36,3.09,0.13,0.44,2.58,0.51,2.07,8,10,39.12,81.02,-8.86,17.21
soil,SSV,0,PSA,1,AG,3,3.65,8,47,4,59,99.9,1.16,0.33,3.09,0.13,0.43,2.21,0.37,1.84,11,13,48.54,83.47,-10.28,19.79
soil,SSV,0,PSA,1,AG,4,4.33,7,49,3,59,108.4,1.18,0.36,3.08,0.13,0.44,2.34,0.66,1.68,9,12,43.01,84.94,-12.09,24.94
soil,SSV,0,PSA,1,AG,5,4.03,7,61.5,4,57,99.2,1.19,0.31,3.06,0.13,0.43,2.63,0.23,2.4,10,11,42.23,83.54,-12.54,28.63
soil,SSV,0,PSA,1,AG,6,3.67,8,50.5,4,68,91.4,1.18,0.32,3.09,0.13,0.44,2.54,0.59,1.95,11,14,45.98,77.95,-11.09,22.12
soil,SSV,0.1,PSA,2,AG,1,4.05,9,59,5,64,104.4,1.06,0.32,3.45,0.13,0.41,2.15,0.54,1.61,8,10,47.92,81.38,-16.44,31.81
soil,SSV,0.1,PSA,2,AG,2,3.91,9,54.5,5,59,101.6,1.08,0.35,3.48,0.14,0.42,1.78,0.57,1.21,3,9,41.03,84.93,-10.53,33.04
soil,SSV,0.1,PSA,2,AG,3,4.3,8,53,4,59,96.3,1.04,0.33,3.46,0.14,0.41,1.44,0.7,0.74,3,11,43.15,83.78,-11.8,25.58
soil,SSV,0.1,PSA,2,AG,4,4.15,9,56.5,5,59,105.4,1.07,0.35,3.48,0.14,0.42,2.78,0.57,2.21,3,10,44.55,77.85,-12.38,27.09
soil,SSV,0.1,PSA,2,AG,5,3.61,8,53.5,4,68,106.2,1.08,0.35,3.44,0.13,0.42,1.49,0.42,1.07,8,10,45.09,76.19,-12.86,25.69
soil,SSV,0.1,PSA,2,AG,6,3.8,9,57,4,60,93.6,1.06,0.33,3.45,0.13,0.41,2.09,0.38,1.71,5,11,50.78,77.77,-11.95,23.51
soil,SSV,0.3,PSA,3,AG,1,4.1,9,54,7,56,104.3,0.66,1.21,3.33,0.14,0.45,2.2,0.62,1.58,5,10,43.1,82.5,-9.23,20.92
soil,SSV,0.3,PSA,3,AG,2,4.35,9,58,3,56,86.5,0.68,1.25,3.36,0.14,0.45,1.41,0.33,1.08,8,10,49.01,71.87,-14.19,30.84
soil,SSV,0.3,PSA,3,AG,3,3.73,8,48,6,59,108.3,0.67,1.22,3.34,0.14,0.45,1.96,0.6,1.36,10,12,40.98,85.02,-12.55,25.58
soil,SSV,0.3,PSA,3,AG,4,3.85,8,52,4,59,89.3,0.68,1.25,3.35,0.14,0.45,2.09,0.36,1.73,3,9,40.66,85.89,-8.87,19.75
soil,SSV,0.3,PSA,3,AG,5,3.77,8,51.5,4,59,100.5,0.66,1.21,3.33,0.14,0.45,1.96,0.51,1.45,12,15,42.65,83.54,-10.21,22.15
soil,SSV,0.3,PSA,3,AG,6,4.07,8,60.5,5,59,107.7,0.65,1.21,3.33,0.14,0.45,1.86,0.47,1.39,3,10,42.79,83.13,-11.71,23.05
soil,SSV,0.5,PSA,4,AG,1,4.15,8,50,6,56,108.2,0.88,0.34,2.8,0.17,0.41,1.33,0.77,0.56,7,10,48.65,87.33,-10.6,24.49
soil,SSV,0.5,PSA,4,AG,2,4.33,8,45,4,59,108.6,0.89,0.36,2.88,0.17,0.41,1.73,0.4,1.33,10,12,40.14,82.25,-13.02,26
soil,SSV,0.5,PSA,4,AG,3,3.91,8,60,4,59,82.3,0.89,0.33,2.83,0.16,0.4,1.84,0.46,1.38,3,9,47.62,84.09,-11.02,21.61
soil,SSV,0.5,PSA,4,AG,4,2.93,8,53,3,59,51.4,0.89,0.36,2.88,0.16,0.42,2.11,0.46,1.65,8,10,47.88,84.05,-10.37,22.3
soil,SSV,0.5,PSA,4,AG,5,3.56,8,46,3,71,84.2,0.86,0.34,2.78,0.17,0.42,1.83,0.57,1.26,10,10,43.68,80.07,-15.34,30.4
soil,SSV,0.5,PSA,4,AG,6,4.54,9,57.5,4,68,100.3,0.87,0.33,2.83,0.17,0.41,1.66,0.42,1.24,10,13,49.66,81.62,-14.01,28.73
soil,SSV,0,PSA,1,CP,1,4.43,8,50.5,4,56,99.5,1.63,0.28,2.89,0.22,0.47,3.16,0.54,2.62,5,10,50.01,77.88,13.1,1.43
soil,SSV,0,PSA,1,CP,2,4.96,8,47,4,59,89.6,1.68,0.25,2.87,0.27,0.56,3.09,0.84,2.25,3,9,52.66,72.88,20.03,1.96
soil,SSV,0,PSA,1,CP,3,4.28,8,54.5,5,59,82.8,1.62,0.27,2.89,0.22,0.47,3.01,0.61,2.4,7,11,53.09,68.62,15.5,2.08
soil,SSV,0,PSA,1,CP,4,4.57,7,49.5,5,59,82.6,1.62,0.27,2.89,0.22,0.47,3.39,0.43,2.96,7,11,54.12,82.93,10.97,3.08
soil,SSV,0,PSA,1,CP,5,4.75,7,60.5,3,61,93.1,1.62,0.27,2.88,0.22,0.47,4.41,0.5,3.91,10,12,45.99,76.75,9.94,1.57
soil,SSV,0,PSA,1,CP,6,3.74,8,65.5,3,59,72.6,1.61,0.27,2.89,0.22,0.47,2.44,0.72,1.72,8,12,50.36,78.04,10.28,1.63
soil,SSV,0.1,PSA,2,CP,1,4.17,8,62.8,4,61,79.4,1.11,0.26,2.46,0.22,0.4,3.34,0.47,2.87,12,16,48.01,76.88,14.66,2.14
soil,SSV,0.1,PSA,2,CP,2,4.05,7,55.5,3,59,57,1.13,0.27,2.47,0.27,0.48,3.49,0.57,2.92,8,11,52.46,75.5,10.65,3.36
