condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,1,75.03,-6.55,13.07,81.09,-10.27,21.6,79.35,-10.6,21.29,78.62,-6.01,16.05,83.94,-6.06,18.08
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,1,73.12,-5.76,11.76,78.98,-9.17,19.43,78.45,-10.52,21.15,80.9,-6.18,16.65,84.06,-6.32,18.83
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,1,68.76,-4.99,10.94,77.74,-8.88,18.5,79,-10.74,21.25,81.44,-6.19,17.02,83.96,-6.19,18.77
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,2,78.96,-7.56,13.76,73.36,-6,12.71,86.82,-9.89,20.53,85.13,-11.92,22.97,88.82,-6.52,13.77
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,2,83.39,-9.13,14.49,74.74,-6.18,12.89,86.72,-10.01,20.56,85.14,-11.62,23.24,88.8,-6.63,13.84
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,2,80.96,-7.58,13.47,76.14,-6.18,12.87,86.74,-10.13,20.77,85.23,-11.93,22.96,88.93,-6.7,14.1
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,3,74.93,-6.84,13.11,84.82,-6.82,13.61,75.92,-9.99,21.01,84.41,-10.8,21.88,84.6,-8.23,18.32
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,3,82.27,-8.33,15.54,84.26,-6.42,12.97,74.02,-9.66,20.19,82.94,-10.59,21.41,84.47,-8.28,18.37
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,3,82.02,-8.58,16.15,84.18,-6.48,12.98,73.97,-9.55,19.78,83.39,-10.79,21.76,84.5,-8.4,18.49
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,4,82.37,-11.25,21.22,79.84,-9.31,18.64,79.59,-7.88,15.22,87.18,-9.3,20.59,83.83,-5.2,19.51
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,4,81.9,-11.62,22.19,79.14,-9.15,18.2,78.9,-6.97,13.76,87.17,-8.63,20.55,83.95,-5.23,19.58
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,4,82.02,-11.37,21.73,79.74,-9.38,18.72,79.26,-7.18,13.85,87.62,-8.84,20.79,84.02,-5.19,19.54
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,5,79.42,-5.92,11.34,82.4,-5.8,11.66,78.83,-6.19,11.87,79.38,-6.32,21.21,66.69,-5.21,24.97
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,5,73.79,-7.05,14.31,80.58,-4.91,10.13,79.19,-5.64,11.03,78.63,-6.04,21.55,66.81,-5.19,25.1
