Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
AG,50.2,16.7,12.2,24.9,12.1,10
AG,52.5,19,15.1,24.2,11,10
AG,51.2,15.2,14.2,24.1,10.4,10
AG,37.7,16.7,30.9,30.2,15.8,11
AG,32.2,18.3,26.1,27.2,14.2,11
AG,35.2,20.9,26.2,29.9,13.7,11
AG,17.4,25.7,23.1,22.4,21.6,12
AG,17.8,25.9,22.4,22.2,23.4,12
AG,18,25.2,20.8,24.9,23,12
AG,57.4,40.8,32.8,17,10.1,10
AG,56.5,36.5,34,17,10.1,10
AG,49.8,39.1,33.9,16.4,10.2,10
AG,39,41.8,33.5,3.7,2.8,7
AG,38.9,39.8,36.2,3.3,2.9,7
AG,36.8,38.9,34.4,3.2,3.2,7
AG,39.4,32.3,26.4,12.9,12.6,8
AG,37.5,32.9,30.7,13.2,11.3,8
AG,37.5,29.7,27,14.2,13.7,8
AG,43.5,32.6,37.7,23.1,21.7,10
AG,43.9,32.7,37.6,26.9,22.7,10
AG,43.4,35.3,35.4,26.2,23.7,10
AG,19.8,15.1,20.1,13,18,10
AG,19.2,15.3,20.3,12.7,18.2,10
AG,21.8,11.9,21,13.2,16.9,10
AG,51.2,36.3,30.3,26.2,24,10
AG,47.7,37.8,29.4,25.1,22.8,10
AG,52.2,36.8,27.5,26.2,22.6,10
AG,42.9,15.1,20.1,22.2,20.1,10
AG,37.7,16.1,21.7,21.6,19.6,10
AG,40.2,17,21,22.2,21,10
AG,52.2,42.3,26.7,21.3,20.4,9
AG,52.2,43.3,24.7,20.5,22.1,9
AG,49.9,39.6,24.4,19.9,19.5,9
AG,27.5,10.1,9.8,9.9,9.8,7
AG,16.6,10.6,8.3,10,9.1,7
AG,14.3,10.7,10.8,9.6,9.7,7
AG,52.6,36.4,27.9,17.7,18.6,14
AG,52.4,34.7,27.5,18.6,17.1,14
AG,43.1,33.4,26.9,17.1,18.7,14
AG,34.7,35.4,29.7,20.1,16.5,12
AG,38.5,35.2,29.6,17.2,16.1,12
AG,40.5,33.2,28.1,17.6,15.8,12
AG,43.7,33.4,24.5,17.9,20.2,12
AG,45.3,33.2,25,17.6,21,12
AG,52.4,31.9,24.9,18.6,20.3,13
AG,38.3,25.6,22.8,17.4,12,13
AG,36.4,27.7,21.2,17.6,11.8,13
AG,33.2,25.8,21.6,19.1,11.7,14
AG,44.5,24.9,22.6,18.2,10.5,14
AG,41.8,24.3,22.7,19,16.4,14
AG,38.8,24.8,21.6,17.9,15.6,14
AG,56.6,39,29.9,26.8,24.9,14
AG,57.4,40.1,27.8,25.4,21.5,14
AG,52.2,40.7,28.2,23.4,21.1,14
AG,41,27.8,27.9,28.4,24.7,14
AG,39.6,27.9,29.4,28.3,24.9,14
AG,40,27.4,27.7,28.2,24,14
AG,60.6,43.9,29.6,24.9,21.7,13
AG,55.5,43.8,29.3,23.8,21.4,13
AG,54.5,43.6,29.2,23.7,21.7,13
AG,34.3,32.1,28,26.1,21.2,11
AG,30.1,28.4,28.6,27.7,20.4,11
AG,32.3,28.4,26.3,24.5,19.7,11
AG,43.5,33.8,27.9,19,17.9,12
AG,47.4,32.9,27.6,19.4,17.4,12
AG,43.2,31.4,28,23.3,19.7,12
AG,38.8,25.8,21.6,17.5,15.1,13
AG,42.4,25.6,21.7,17.7,14.9,13
AG,38.4,23.8,21.9,17,15,13
AG,46.6,46.4,41.4,28,29.8,11
AG,48.3,43.2,38.2,27.2,27.4,11
AG,43.2,42.4,38.4,27.7,25.9,11
AG,55.7,42.2,36.8,34.1,26.4,9
AG,58.6,46.1,33.8,32.1,27,9
AG,55.5,40.1,35.2,34.3,27,9
AG,86.4,64.2,52.9,41.9,39.1,9
AG,82.6,66.2,53.9,42.9,36.8,9
AG,73.2,57.7,49.6,41.3,35.4,9
AG,78.5,55.3,49.7,49.1,35.6,10
AG,77.3,55.2,48.2,45.1,31.4,10
AG,74.3,47.1,47.3,44.7,29.7,10
AG,80.9,63.1,60.3,24.1,18.1,11
AG,77.1,46.7,61.9,22,17.6,11
AG,72.1,49.2,59.6,23.1,17.1,11
AG,88.7,72.2,53.3,43.9,27.4,9
AG,87.2,68.5,58.9,33.2,26.2,9
AG,72.6,61.3,56.3,31.8,25.2,9
AG,56.2,54.3,53,47.4,37.4,8
AG,58.2,53.5,50.8,44.5,32.4,8
AG,52.8,54,53.2,42.1,33.7,8
AG,79.5,62.2,41.1,30.2,20.2,10
AG,70.1,59.4,40.5,25.6,24.6,10
AG,69,58.2,35.4,27,16.6,10
AG,97.4,79.4,51.5,36.2,24.9,11
AG,90.6,84.7,51,34.2,22.9,11
AG,85.8,76.7,49.5,34,22.6,11
AG,74.3,66.4,56.5,29.4,26.4,12
AG,66.5,54.2,60.2,26.7,24.7,12
AG,65.2,47.3,55,25.7,24.3,12
AG,79.4,72.1,60.2,52.7,38.8,9
AG,80.1,76.8,58.8,52.3,38.7,9
AG,79.2,70.1,58,52.1,33.8,9
AG,69.5,45.9,48.4,28.6,21.5,11
AG,66.6,54.2,47.4,29.6,25.2,11
AG,62,40.2,46.9,29.8,28.4,11
AG,79.5,53.8,38.2,42.7,19.7,10
AG,77.3,43.8,39.2,41.6,17.5,10
AG,68.3,45.2,37.8,38.2,16.1,10
AG,77.6,43.8,39.7,32.5,31.8,10
AG,75.6,43.8,35.6,35.1,27.4,10
AG,70.4,39.5,36.9,35.3,30.1,10
AG,43.8,29.2,25.9,26.4,21.2,14
AG,42.2,27,25.8,21.3,18.2,14
AG,36.8,27.4,24.9,22.2,17.4,14
AG,79.3,62.9,46.2,22.6,30,9
AG,72.8,64.8,46.7,22.4,30,9
AG,69.2,69.1,51.2,22.5,26.8,9
AG,87.2,79.4,73.5,44.4,37.5,11
AG,82.8,71.2,60.5,40,33.5,11
AG,78.6,70.6,62.1,41.7,31.9,11
AG,84.6,70.6,62.5,45.7,35.7,10
AG,93.7,76.4,58.9,50,34.5,10
AG,125.1,67.6,58.2,47.3,32.6,10
AG,57.3,55.3,49.7,15.4,14.7,11
AG,56.3,49.2,45.6,14.8,14.7,11
AG,52.9,47.1,46.9,14.2,14.3,11
AG,86.4,65.1,58.6,38.5,35.1,10
AG,75.4,65.4,57.6,38.7,30.4,10
AG,78.1,60.7,56.2,39.8,34.7,10
AG,58.4,32.6,27.9,22.4,19,11
AG,58.9,32.4,28.2,21.5,20.4,11
AG,64.7,32,29.5,22.1,19.4,11
AG,73.8,85.8,55,33.3,27,9
AG,69.2,60.2,55.2,31.8,25.8,9
AG,63.7,56.7,51.4,30.9,23,9
AG,52.6,30.4,27,23.5,22.3,8
AG,50.4,33.9,27.7,24,21.8,8
AG,46.9,35.4,28.3,21.8,21.6,8
