Group,Concentration,Cultivation_method,Cultivar,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L_first,a_first,b_first,L_second,a_second,b_second,L_third,a_third,b_third,L_fourth,a_fourth,b_fourth,L_fifth,a_fifth,b_fifth
SSV,0,Soil_culture,AG,3.73,8,58.5,5,56,104.5,1.18,0.32,3.08,0.13,0.44,1.97,0.35,1.62,3,9,45.12,73.34,-9.56,20.76,83.29,-9.72,20.69,78.09,-8.68,18.47,76.23,-11.05,21.8,76.8,-11.54,26.58
SSV,0,Soil_culture,AG,3.86,8,58,4,59,114,1.19,0.36,3.09,0.13,0.44,2.58,0.51,2.07,8,10,39.12,77.47,-9.7,18.43,84.34,-10.08,20.35,81.46,-7.29,16.32,75.14,-11.92,22.52,79.24,-11.59,23.07
SSV,0,Soil_culture,AG,3.65,8,47,4,59,99.9,1.16,0.33,3.09,0.13,0.43,2.21,0.37,1.84,11,13,48.54,83.01,-10.36,20.1,78.28,-14.1,27.47,81.5,-11.77,22.64,65.89,-14.12,25.6,80.43,-8.59,16.29
SSV,0,Soil_culture,AG,4.33,7,49,3,59,108.4,1.18,0.36,3.08,0.13,0.44,2.34,0.66,1.68,9,12,43.01,84.72,-12.5,25.59,82.84,-11.02,21.29,82,-10.54,20.36,77.9,-13.01,23.62,84.83,-5.72,13.97
SSV,0,Soil_culture,AG,4.03,7,61.5,4,57,99.2,1.19,0.31,3.06,0.13,0.43,2.63,0.23,2.4,10,11,42.23,83.17,-12.57,28.39,82.45,-9.28,18.39,79.95,-11.09,23.25,79.06,-13.91,26.39,73.46,-11.27,21.75
SSV,0,Soil_culture,AG,3.67,8,50.5,4,68,91.4,1.18,0.32,3.09,0.13,0.44,2.54,0.59,1.95,11,14,45.98,63.83,-4.07,23.83,78.92,-13.74,27.31,80.03,-11.36,23.02,74.53,-10.54,18.68,75.46,-13.61,25.93
SSV,0.1,Soil_culture,AG,4.05,9,59,5,64,104.4,1.06,0.32,3.45,0.13,0.41,2.15,0.54,1.61,8,10,47.92,81.67,-16.33,31.78,80.73,-15.26,28.84,80.29,-13.25,25,81.17,-14.73,26.16,79.35,-11.15,20.95
SSV,0.1,Soil_culture,AG,3.91,9,54.5,5,59,101.6,1.08,0.35,3.48,0.14,0.42,1.78,0.57,1.21,3,9,41.03,81.61,-8.92,22.51,81.79,-13.26,24.49,79.9,-12.14,21.9,68.64,-9.71,16.45,56.89,-14.37,27.58
SSV,0.1,Soil_culture,AG,4.3,8,53,4,59,96.3,1.04,0.33,3.46,0.14,0.41,1.44,0.7,0.74,3,11,43.15,77.01,-10.08,20.8,61.55,-17.74,33.94,81.93,-13.02,23.12,67.52,-14.69,26.05,80.74,-12.55,24.44
SSV,0.1,Soil_culture,AG,4.15,9,56.5,5,59,105.4,1.07,0.35,3.48,0.14,0.42,2.78,0.57,2.21,3,10,44.55,77.37,-11.3,25.27,81.63,-13.23,23.96,74.35,-10.51,19.97,81.57,-12.81,22.7,79.26,-16.1,30.56
SSV,0.1,Soil_culture,AG,3.61,8,53.5,4,68,106.2,1.08,0.35,3.44,0.13,0.42,1.49,0.42,1.07,8,10,45.09,74.37,-11.84,23.34,78.75,-14.79,26.47,73.68,-14.67,27.48,80.02,-17.11,30.16,81.41,-11.89,24.06
SSV,0.1,Soil_culture,AG,3.8,9,57,4,60,93.6,1.06,0.33,3.45,0.13,0.41,2.09,0.38,1.71,5,11,50.78,60.97,-10.84,22.9,69.53,-13.13,25.72,81.57,-11.93,23.94,76.22,-10.91,20.58,74.55,-9.51,20.09
SSV,0.3,Soil_culture,AG,4.1,9,54,7,56,104.3,0.66,1.21,3.33,0.14,0.45,2.2,0.62,1.58,5,10,43.1,82.02,-9.2,20.81,75.87,-13.61,26.77,76.67,-11.73,22.43,76.34,-15.09,27.11,75.69,-14.63,27.51
SSV,0.3,Soil_culture,AG,4.35,9,58,3,56,86.5,0.68,1.25,3.36,0.14,0.45,1.41,0.33,1.08,8,10,49.01,71.7,-4.63,30.37,77.81,-16.04,31.71,53.72,-13.73,26.7,75.42,-15.07,28.96,62.59,-9.33,21.76
SSV,0.3,Soil_culture,AG,3.73,8,48,6,59,108.3,0.67,1.22,3.34,0.14,0.45,1.96,0.6,1.36,10,12,40.98,85.08,-12.12,24.74,76.12,-16.57,31.16,78.78,-8.83,15.34,83.76,-13.09,22.64,75.85,-11.82,22.42
SSV,0.3,Soil_culture,AG,3.85,8,52,4,59,89.3,0.68,1.25,3.35,0.14,0.45,2.09,0.36,1.73,3,9,40.66,83.86,-9.23,20.46,77.13,-17.53,33.21,82,-12.18,22.79,77.15,-14.1,25.45,77.36,-11.3,22.14
SSV,0.3,Soil_culture,AG,3.77,8,51.5,4,59,100.5,0.66,1.21,3.33,0.14,0.45,1.96,0.51,1.45,12,15,42.65,83.65,-10.12,22.06,78.77,-16.14,30.31,74.46,-13.81,25.79,72.95,-15.85,28.52,74.43,-14.4,26.97
SSV,0.3,Soil_culture,AG,4.07,8,60.5,5,59,107.7,0.65,1.21,3.33,0.14,0.45,1.86,0.47,1.39,3,10,42.79,83.13,-11.67,22.99,75.7,-17.45,32.67,79.01,-14.53,26.73,79.3,-17.18,30.57,76.08,-14.64,27.48
SSV,0.5,Soil_culture,AG,4.15,8,50,6,56,108.2,0.88,0.34,2.8,0.17,0.41,1.33,0.77,0.56,7,10,48.65,77.77,-8.66,20.07,84.05,-11.74,23.21,83.67,-9.38,18.78,72.37,-7.97,14.55,82.57,-9.52,25.86
SSV,0.5,Soil_culture,AG,4.33,8,45,4,59,108.6,0.89,0.36,2.88,0.17,0.41,1.73,0.4,1.33,10,12,40.14,81.6,-12.8,25.36,77.05,-17.33,32.61,82.21,-9.71,18.17,84.15,-10.81,20.52,73.79,-14.29,27.57
SSV,0.5,Soil_culture,AG,3.91,8,60,4,59,82.3,0.89,0.33,2.83,0.16,0.4,1.84,0.46,1.38,3,9,47.62,83.37,-10.66,20.92,77.12,-15.57,29.55,69.46,-15.94,29.54,72.76,-15.15,29.12,76.23,-15.78,23.29
SSV,0.5,Soil_culture,AG,2.93,8,53,3,59,51.4,0.89,0.36,2.88,0.16,0.42,2.11,0.46,1.65,8,10,47.88,83.88,-10.34,22.24,82.9,-14.49,27.41,77.38,-13.44,24.08,82.45,-10.95,18.79,81.95,-13.89,25.61
SSV,0.5,Soil_culture,AG,3.56,8,46,3,71,84.2,0.86,0.34,2.78,0.17,0.42,1.83,0.57,1.26,10,10,43.68,79.17,-15.1,29.97,75.03,-14.88,28.42,84.07,-11.99,21.16,76.73,-12.64,22.68,72.24,-11.92,22.09
SSV,0.5,Soil_culture,AG,4.54,9,57.5,4,68,100.3,0.87,0.33,2.83,0.17,0.41,1.66,0.42,1.24,10,13,49.66,81.18,-13.53,27.59,80.34,-12.91,25.09,80.56,-11.53,21.74,80.3,-14.53,25.69,78.95,-11.28,22.39
SSV,0,Soil_culture,CP,4.43,8,50.5,4,56,99.5,1.63,0.28,2.89,0.22,0.47,3.16,0.54,2.62,5,10,50.01,77.87,13.87,1.62,77.83,15.73,3.18,69.41,7.01,3.52,72.66,6.34,3.7,70.27,9.02,8.69
SSV,0,Soil_culture,CP,4.96,8,47,4,59,89.6,1.68,0.25,2.87,0.27,0.56,3.09,0.84,2.25,3,9,52.66,73.69,20.56,2.06,74.34,16.75,1.44,75.14,15.82,1.96,73.84,13.78,0.55,70.81,11.14,3.73
SSV,0,Soil_culture,CP,4.28,8,54.5,5,59,82.8,1.62,0.27,2.89,0.22,0.47,3.01,0.61,2.4,7,11,53.09,72.16,15.99,2.15,76.83,16.47,1.41,78.97,12.64,2.23,76.94,6.42,3.07,71.55,8.49,2.87
SSV,0,Soil_culture,CP,4.57,7,49.5,5,59,82.6,1.62,0.27,2.89,0.22,0.47,3.39,0.43,2.96,7,11,54.12,82.95,11.21,3.16,78.27,15.31,3.79,74.77,3.16,1.73,64.79,5.39,2.36,74.48,9.91,6.42
SSV,0,Soil_culture,CP,4.75,7,60.5,3,61,93.1,1.62,0.27,2.88,0.22,0.47,4.41,0.5,3.91,10,12,45.99,79.31,10.93,2.28,78.32,16.68,2.64,80.12,9.77,2.43,79.37,7.48,1.63,77.67,7.41,1.72
SSV,0,Soil_culture,CP,3.74,8,65.5,3,59,72.6,1.61,0.27,2.89,0.22,0.47,2.44,0.72,1.72,8,12,50.36,79,13.42,2.48,74.69,18.63,2.47,71.76,11.64,1.03,82.7,9.29,2.54,78.14,9.49,3.31
SSV,0.1,Soil_culture,CP,4.17,8,62.8,4,61,79.4,1.11,0.26,2.46,0.22,0.4,3.34,0.47,2.87,12,16,48.01,77.32,13.78,2.15,81.65,11.93,2.65,73.45,13.69,1.95,79.82,9.58,1.29,79.88,9.25,2.61
SSV,0.1,Soil_culture,CP,4.05,7,55.5,3,59,57,1.13,0.27,2.47,0.27,0.48,3.49,0.57,2.92,8,11,52.46,69.72,7.94,3.78,82.48,9.19,4.31,79.7,12.7,3.12,68.42,6.32,5.75,78.01,3.88,5.37
SSV,0.1,Soil_culture,CP,3.82,7,58,4,64,62.7,1.13,0.27,2.46,0.22,0.4,3.41,0.67,2.74,8,12,52.33,64.91,8.16,0.52,78.13,7.86,1.65,79.12,8.57,1.17,80.86,8.09,1.16,82.13,4.77,4.1
SSV,0.1,Soil_culture,CP,3.95,6,60,4,65,86.6,1.14,0.26,2.46,0.22,0.4,2.56,0.43,2.13,10,14,48.66,75.4,10.48,1.16,80.8,11.64,1.31,77.87,10.35,2.26,71.01,6.72,1.59,80.74,3.93,5.73
SSV,0.1,Soil_culture,CP,4.43,8,57.5,4,59,103.9,1.11,0.26,2.46,0.22,0.4,3.08,0.83,2.25,8,13,50,76.83,13.39,2.71,78.65,12.36,1.63,71.84,12.43,1.97,77.26,8.92,2.46,69.48,5.29,5.45
SSV,0.1,Soil_culture,CP,4.64,8,54,5,65,99.9,1.14,0.26,2.46,0.22,0.4,2.61,0.65,1.96,7,10,56.24,70.89,15.47,2.08,73.39,11.18,2.21,76.52,9.58,2.02,79.55,7.87,3.01,72.79,10.08,3.24
SSV,0.3,Soil_culture,CP,4.65,8,60,4,56,99.9,1.08,0.3,2.57,0.21,0.46,2.64,0.74,1.9,3,10,50.99,75.6,11.73,4.43,75.83,12.67,3.03,76.02,14.33,2.36,75.54,9.23,1.95,79.18,11.43,4.42
SSV,0.3,Soil_culture,CP,5.24,7,61.5,5,56,104.6,1.05,0.32,2.52,0.27,0.53,2.42,0.72,1.7,7,13,50.88,79.14,13.23,3.82,84.1,6.95,2.76,77.28,8,1.93,82.62,3.63,4.19,79.58,9.61,4.19
SSV,0.3,Soil_culture,CP,5.61,9,65.5,4,59,103.6,1.09,0.29,2.57,0.21,0.46,2.69,0.54,2.15,5,11,46.65,81.88,10.2,3.12,75.23,6.8,2.07,78.37,9.52,3.65,79.26,11.64,7.33,77.84,8.96,9.92
