id,group,cult,day,concentration,no,samp,VL,a,b,L
NSA_0.0_AG_1_1,HSR,AG,1,0,1,1,10,-6.55,13.07,75.03
NSA_0.0_AG_1_1,HSR,AG,6,0,1,1,10,-10.27,21.6,81.09
NSA_0.0_AG_1_1,HSR,AG,9,0,1,1,10,-10.6,21.29,79.35
NSA_0.0_AG_1_1,HSR,AG,11,0,1,1,10,-6.01,16.05,78.62
NSA_0.0_AG_1_1,HSR,AG,14,0,1,1,10,-6.06,18.08,83.94
NSA_0.0_AG_1_2,HSR,AG,1,0,2,1,10,-5.76,11.76,73.12
NSA_0.0_AG_1_2,HSR,AG,6,0,2,1,10,-9.17,19.43,78.98
NSA_0.0_AG_1_2,HSR,AG,9,0,2,1,10,-10.52,21.15,78.45
NSA_0.0_AG_1_2,HSR,AG,11,0,2,1,10,-6.18,16.65,80.9
NSA_0.0_AG_1_2,HSR,AG,14,0,2,1,10,-6.32,18.83,84.06
NSA_0.0_AG_1_3,HSR,AG,1,0,3,1,10,-4.99,10.94,68.76
NSA_0.0_AG_1_3,HSR,AG,6,0,3,1,10,-8.88,18.5,77.74
NSA_0.0_AG_1_3,HSR,AG,9,0,3,1,10,-10.74,21.25,79
NSA_0.0_AG_1_3,HSR,AG,11,0,3,1,10,-6.19,17.02,81.44
NSA_0.0_AG_1_3,HSR,AG,14,0,3,1,10,-6.19,18.77,83.96
NSA_0.0_AG_2_1,HSR,AG,1,0,1,2,11,-7.56,13.76,78.96
NSA_0.0_AG_2_1,HSR,AG,6,0,1,2,11,-6,12.71,73.36
NSA_0.0_AG_2_1,HSR,AG,9,0,1,2,11,-9.89,20.53,86.82
NSA_0.0_AG_2_1,HSR,AG,11,0,1,2,11,-11.92,22.97,85.13
NSA_0.0_AG_2_1,HSR,AG,14,0,1,2,11,-6.52,13.77,88.82
NSA_0.0_AG_2_2,HSR,AG,1,0,2,2,11,-9.13,14.49,83.39
NSA_0.0_AG_2_2,HSR,AG,6,0,2,2,11,-6.18,12.89,74.74
NSA_0.0_AG_2_2,HSR,AG,9,0,2,2,11,-10.01,20.56,86.72
NSA_0.0_AG_2_2,HSR,AG,11,0,2,2,11,-11.62,23.24,85.14
NSA_0.0_AG_2_2,HSR,AG,14,0,2,2,11,-6.63,13.84,88.8
NSA_0.0_AG_2_3,HSR,AG,1,0,3,2,11,-7.58,13.47,80.96
NSA_0.0_AG_2_3,HSR,AG,6,0,3,2,11,-6.18,12.87,76.14
NSA_0.0_AG_2_3,HSR,AG,9,0,3,2,11,-10.13,20.77,86.74
NSA_0.0_AG_2_3,HSR,AG,11,0,3,2,11,-11.93,22.96,85.23
NSA_0.0_AG_2_3,HSR,AG,14,0,3,2,11,-6.7,14.1,88.93
NSA_0.0_AG_3_1,HSR,AG,1,0,1,3,12,-6.84,13.11,74.93
NSA_0.0_AG_3_1,HSR,AG,6,0,1,3,12,-6.82,13.61,84.82
NSA_0.0_AG_3_1,HSR,AG,9,0,1,3,12,-9.99,21.01,75.92
NSA_0.0_AG_3_1,HSR,AG,11,0,1,3,12,-10.8,21.88,84.41
NSA_0.0_AG_3_1,HSR,AG,14,0,1,3,12,-8.23,18.32,84.6
NSA_0.0_AG_3_2,HSR,AG,1,0,2,3,12,-8.33,15.54,82.27
NSA_0.0_AG_3_2,HSR,AG,6,0,2,3,12,-6.42,12.97,84.26
NSA_0.0_AG_3_2,HSR,AG,9,0,2,3,12,-9.66,20.19,74.02
NSA_0.0_AG_3_2,HSR,AG,11,0,2,3,12,-10.59,21.41,82.94
NSA_0.0_AG_3_2,HSR,AG,14,0,2,3,12,-8.28,18.37,84.47
NSA_0.0_AG_3_3,HSR,AG,1,0,3,3,12,-8.58,16.15,82.02
NSA_0.0_AG_3_3,HSR,AG,6,0,3,3,12,-6.48,12.98,84.18
NSA_0.0_AG_3_3,HSR,AG,9,0,3,3,12,-9.55,19.78,73.97
NSA_0.0_AG_3_3,HSR,AG,11,0,3,3,12,-10.79,21.76,83.39
NSA_0.0_AG_3_3,HSR,AG,14,0,3,3,12,-8.4,18.49,84.5
NSA_0.0_AG_4_1,HSR,AG,1,0,1,4,10,-11.25,21.22,82.37
NSA_0.0_AG_4_1,HSR,AG,6,0,1,4,10,-9.31,18.64,79.84
NSA_0.0_AG_4_1,HSR,AG,9,0,1,4,10,-7.88,15.22,79.59
NSA_0.0_AG_4_1,HSR,AG,11,0,1,4,10,-9.3,20.59,87.18
NSA_0.0_AG_4_1,HSR,AG,14,0,1,4,10,-5.2,19.51,83.83
NSA_0.0_AG_4_2,HSR,AG,1,0,2,4,10,-11.62,22.19,81.9
NSA_0.0_AG_4_2,HSR,AG,6,0,2,4,10,-9.15,18.2,79.14
NSA_0.0_AG_4_2,HSR,AG,9,0,2,4,10,-6.97,13.76,78.9
NSA_0.0_AG_4_2,HSR,AG,11,0,2,4,10,-8.63,20.55,87.17
NSA_0.0_AG_4_2,HSR,AG,14,0,2,4,10,-5.23,19.58,83.95
NSA_0.0_AG_4_3,HSR,AG,1,0,3,4,10,-11.37,21.73,82.02
NSA_0.0_AG_4_3,HSR,AG,6,0,3,4,10,-9.38,18.72,79.74
NSA_0.0_AG_4_3,HSR,AG,9,0,3,4,10,-7.18,13.85,79.26
NSA_0.0_AG_4_3,HSR,AG,11,0,3,4,10,-8.84,20.79,87.62
