Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,75.03,-6.55,13.07,14.61941859,-1.106231006,81.09,-10.27,21.6,23.91720929,-1.126970322,79.35,-10.6,21.29,23.78285307,-1.108841082,78.62,-6.01,16.05,17.13833714,-1.212503701,83.94,-6.06,18.08,19.06856051,-1.247387399,10
AG,73.12,-5.76,11.76,13.09485395,-1.115345256,78.98,-9.17,19.43,21.48519956,-1.129838972,78.45,-10.52,21.15,23.62187334,-1.109231259,80.9,-6.18,16.65,17.75992399,-1.215386656,84.06,-6.32,18.83,19.86230853,-1.246976041,10
AG,68.76,-4.99,10.94,12.02429624,-1.142861105,77.74,-8.88,18.5,20.52082844,-1.123276352,79,-10.74,21.25,23.809874,-1.102828685,81.44,-6.19,17.02,18.11067365,-1.221978149,83.96,-6.19,18.77,19.76433657,-1.252245761,10
AG,78.96,-7.56,13.76,15.70003822,-1.068399594,73.36,-6,12.71,14.05503824,-1.129741945,86.82,-9.89,20.53,22.78800123,-1.121867969,85.13,-11.92,22.97,25.8787036,-1.092113556,88.82,-6.52,13.77,15.23559319,-1.128578203,11
AG,83.39,-9.13,14.49,17.12649993,-1.00854536,74.74,-6.18,12.89,14.29491168,-1.123730427,86.72,-10.01,20.56,22.86730636,-1.117709639,85.14,-11.62,23.24,25.9831099,-1.107148718,88.8,-6.63,13.84,15.34609071,-1.1240518,11
AG,80.96,-7.58,13.47,15.45630292,-1.058230649,76.14,-6.18,12.87,14.27687991,-1.123124802,86.74,-10.13,20.77,23.10865206,-1.117018728,85.23,-11.93,22.96,25.87443719,-1.091592497,88.93,-6.7,14.1,15.61089363,-1.127203335,11
AG,74.93,-6.84,13.11,14.78707882,-1.089909047,84.82,-6.82,13.61,15.2231567,-1.106267402,75.92,-9.99,21.01,23.26413979,-1.126950013,84.41,-10.8,21.88,24.40029508,-1.112280638,84.6,-8.23,18.32,20.08370733,-1.148578085,12
AG,82.27,-8.33,15.54,17.63180365,-1.078737182,84.26,-6.42,12.97,14.47194873,-1.111166001,74.02,-9.66,20.19,22.38195032,-1.124533057,82.94,-10.59,21.41,23.88589961,-1.111455001,84.47,-8.28,18.37,20.14982134,-1.14733143,12
AG,82.02,-8.58,16.15,18.28767071,-1.082447285,84.18,-6.48,12.98,14.5076118,-1.107765241,73.97,-9.55,19.78,21.96476497,-1.1209943,83.39,-10.79,21.76,24.28830377,-1.110463012,84.5,-8.4,18.49,20.30862132,-1.144372591,12
AG,82.37,-11.25,21.22,24.01772054,-1.083312667,79.84,-9.31,18.64,20.83568333,-1.107577994,79.59,-7.88,15.22,17.13892645,-1.093057792,87.18,-9.3,20.59,22.5928772,-1.146549869,83.83,-5.2,19.51,20.19108962,-1.310321547,10
